x,y,z,time,fragment_id
-0.2521,4.1071,9.097,1604540699301,170
-0.2927,4.0564,9.7241,1604540699321,170
-1.1515,4.4839,9.03,1604540699500,170
-1.1481,4.9746,9.0615,1604540699520,170
-1.1057,4.733,9.2316,1604540699540,170
-0.0632,3.4821,9.2044,1604540699820,170
0.1497,3.6732,8.5122,1604540699840,170
0.2647,3.7588,9.7002,1604540699861,170
0.4414,3.1415,9.3295,1604540700060,170
0.3459,3.339,9.792,1604540700081,170
0.6748,3.0692,9.9554,1604540700101,170
-0.6214,3.936,9.4286,1604541396535,171
-0.3935,3.8079,9.0322,1604541396555,171
-0.3831,3.6482,8.521,1604541396575,171
-0.4104,3.9013,8.5778,1604541396595,171
-0.1815,3.6026,8.6858,1604541396615,171
-2.4307,4.2283,9.0683,1604541396956,171
-2.3325,4.4724,9.2905,1604541396976,171
-1.3079,3.7177,8.6045,1604541397336,171
-1.5507,3.8173,8.7278,1604541397355,171
-1.513,3.9681,8.7183,1604541397376,171
-0.911,3.3897,8.539,1604541397396,171
-2.2493,3.5086,9.085,1604541397575,171
-1.6661,3.5849,9.5897,1604541397596,171
-1.7118,3.3488,9.5293,1604541397616,171
-1.4464,3.4875,9.1122,1604541397836,171
-1.4929,3.5909,8.7143,1604541397856,171
-1.382,3.3773,8.4755,1604541397875,171
-0.876,3.2165,9.0768,1604541397895,171
-0.9713,3.1234,9.3869,1604541397916,171
-2.0238,3.7291,9.342,1604541398195,171
-1.6715,3.7564,9.5139,1604541398215,171
-2.7765,4.3295,8.2404,1604541398395,171
-2.3786,4.1067,9.294,1604541398415,171
-2.112,3.5622,9.781,1604541398436,171
-1.226,3.478,8.9903,1604541398716,171
-1.2413,3.4988,8.7018,1604541398735,171
-1.0838,3.4258,9.8379,1604541398755,171
-1.0474,3.2114,9.3218,1604541399016,171
-1.122,3.5329,9.1421,1604541399035,171
-1.2491,3.5008,8.9836,1604541399055,171
-0.5073,2.9042,9.0987,1604541399076,171
0.0311,5.9944,7.8596,1604479980918,172
0.1661,5.7964,8.0558,1604479980937,172
0.3551,5.876,8.3141,1604479980958,172
-1.5841,6.1969,6.4748,1604479981158,172
-1.4651,6.0486,7.5911,1604479981178,172
-1.983,6.712,7.8278,1604479981198,172
-0.8159,5.4843,8.67,1604479981598,172
-1.0961,5.4981,8.5133,1604479981617,172
-0.117,4.8043,7.8948,1604479981797,172
-1.3789,5.8545,7.9915,1604479981817,172
-1.2202,5.3693,8.838,1604479981838,172
-0.4898,5.0597,7.6958,1604479981998,172
-0.9389,5.3331,8.4454,1604479982018,172
-1.1145,5.2409,8.5079,1604479982038,172
-0.9377,5.1035,8.6578,1604479982058,172
-0.9193,5.395,8.3499,1604479982258,172
-0.6597,5.469,8.0897,1604479982277,172
-0.6911,5.3961,8.4448,1604479982297,172
-1.6938,5.7491,7.8616,1604479982438,172
-1.7018,6.4749,8.1322,1604479982457,172
-1.3398,6.5584,8.606,1604479982478,172
-0.1919,4.4381,9.2986,1604479982717,172
-0.5984,5.2203,8.4487,1604479982738,172
-0.6152,5.0795,9.0454,1604479982758,172
0.1643,4.7482,8.1095,1604479982918,172
-0.0662,4.5789,7.7113,1604479982937,172
-0.2936,4.7147,8.1953,1604479982958,172
-0.1164,4.5656,8.5219,1604479982977,172
-0.4888,9.8023,-0.4899,1604540894080,173
-0.5715,9.9692,-0.0261,1604540894100,173
-0.5708,9.9592,0.2807,1604540894120,173
-1.1501,9.8714,-2.6978,1604540894420,173
-1.2521,9.9422,-0.9749,1604540894440,173
-0.9398,10.231,-0.6551,1604540894460,173
-0.8245,10.1259,-1.1162,1604540894480,173
-1.6345,10.1995,-2.7725,1604540894981,173
-1.5284,10.4073,-1.9195,1604540895001,173
-0.7729,10.4068,-0.9769,1604540895020,173
-1.1733,10.3414,-0.9714,1604540895040,173
-0.0439,9.3494,-1.3041,1604540895281,173
-0.2458,9.7256,-0.3068,1604540895301,173
-0.3479,10.0932,-0.0562,1604540895320,173
-0.2457,10.0472,-0.0032,1604540895340,173
0.1637,9.8625,-0.2381,1604540895361,173
-1.0347,10.3291,-1.3756,1604540895620,173
-0.68,10.1467,-0.7781,1604540895640,173
-0.4592,9.971,-0.2256,1604540895660,173
-0.0595,9.6381,-0.1229,1604540896000,173
0.1549,9.7293,-0.3117,1604540896020,173
0.2575,9.7398,-0.0024,1604540896041,173
0.0464,9.7514,0.2794,1604540896060,173
-1.2446,10.2067,-1.9692,1604540896241,173
-0.9837,10.3738,-1.0762,1604540896260,173
-0.9943,10.3592,-0.4154,1604540896280,173
-0.7954,10.1889,-0.0464,1604540896300,173
0.3402,9.206,-0.32,1604540896600,173
-0.3335,10.0258,-0.2361,1604540896620,173
-0.0599,9.9863,-0.0355,1604540896640,173
0.5402,9.8416,0.6095,1604540896660,173
-0.3032,9.9796,-0.4257,1604540897020,173
-0.4694,10.057,-0.1257,1604540897040,173
0.3778,4.9065,8.4719,1604629040751,174
0.5033,4.8717,8.679,1604629040771,174
